Operations,Amount,day_8hrs,FPY_PR_3
op10,,0.1,0.98
op20,,0.1,1
op30,,0.05,0.98
op40,,0.05,1
op50,,0.25,0.99
op60,,0.1,1
op70,,0.1,0.99
op80,,0.2,1
op90,,0.05,0.99
op100,,0.05,1
op110,,0.05,1
op120,,2,1
op130,,0.1,1
op140,,0.5,0.95
op150,,0.15,1
op160,,0.15,1
op170,,0.07,0.99
op180,,0.12,1
op190,,0.2,0.99
op200,,0.1,1
op210,,0.1,1
op220,,0.1,1
op230,,0.25,1
op240,,0.04,1
op250,,0.3,0.97
op260,,0.02,1
op270,,0.08,1
op280,,0.07,0.98
op290,,0.1,0.98
op300,,0.5,0.96
op310,,0.1,1
op320,,0.1,0.99
op330,,0.1,1
op340,,0.4,0.99
op350,,0.1,1
op360,,0.12,1
op370,,0.14,1
op380,,0.1,1
op390,,0.5,1
op400,,0.05,0.99
op410,,0.1,0.99
op420,,0.05,1
op430,,0.1,0.99
op440,,0.05,1
op450,,0.1,0.99
op460,,0.1,1
op470,,0.03,1
op480,,0.06,1
op490,,0.03,1
op500,,0.07,1
op510,,0.1,1
op520,,0.2,1
op530,,0.12,1
op540,,0.11,0.99
op550,,0.11,0.99
op560,,0.75,1
op570,,0.2,0.99
op580,,0.2,1
op590,,0.2,0.99
op600,,0.2,1
op610,,0.2,1
op620,,0.2,1
op630,,0.2,1
op640,,0.15,1
op650,,0.15,1
op660,,0.25,1
op670,,0.2,1
op680,,0.4,1
op690,,0.2,1
op700,,0.25,1
op710,,0.14,1
op720,,0.04,1
op730,,0.15,1
op740,,0.75,1
op750,,0.45,1
op760,,0.23,1
op770,,0.2,1
op780,,0.25,1
op790,,0.3,1
Assy1,,0.5,1
Assy2,,0.5,1
Assy3,,0.5,1
Assy4,,0.5,1
Assy5,,0.5,1
Assy6,,0.5,1
Assy7,,0.5,1
A,100,18.85,
B,100,,
C,100,,
D,100,,
E,100,,
F,100,,
G,100,,
H,100,,
I,100,,
J,100,,
K,100,,
L,100,,
M,100,,
N,100,,
O,100,,
P,50,,
Q,50,,
R,50,,
S,50,,
T,100,,
U,200,,
V,100,,
W,100,,
AA,100,,
AB,100,,
AC,100,,
AD,100,,
AE,100,,
AF,100,,
AG,100,,
AH,100,,
AI,100,,
AJ,100,,
BA,100,,
BB,100,,
BC,100,,
BD,100,,
BE,200,,
BF,200,,
BG,200,,
BH,200,,
BI,100,,
BJ,100,,
BK,100,,
Z,,,
